feature,importance
time_since_start,0.06879160293393846
current_event,0.047360692172731714
trace_length,0.046695487121056735
prev_event_5,0.045652031597496506
current_dept_duration,0.0417292827762566
dept_changes,0.03675389446527687
time_since_last_event,0.035636251275934394
CRP_last,0.03135709074707019
CRP_mean,0.027739357962219047
time_of_day,0.02763657451948875
unique_activities,0.027607290439360003
SIRSCritTemperature_changes,0.02740053790430845
event_position,0.027243448046425856
SIRSCritTachypnea_changes,0.026065013777694657
LacticAcid_mean,0.02574730924601174
SIRSCriteria2OrMore_changes,0.025385066154370226
Leucocytes_last,0.025274682553468673
SIRSCritHeartRate_changes,0.024933413168390026
Leucocytes_mean,0.02460378724659928
CRP_max,0.02436289454782881
Leucocytes_max,0.024342950835910968
LacticAcid_last,0.02210107080810713
SIRSCritLeucos_changes,0.022039711436748037
LacticAcid_max,0.02161409438489257
department,0.020535546717984677
repeated_activities,0.018824386964722203
prev_event_3,0.01758139084804335
prev_event_4,0.016202144571884666
SIRSCritLeucos,0.014938511289911131
CRP_count,0.01485218063135857
Leucocytes_count,0.014273659718226162
CRP,0.012947176061010635
Leucocytes,0.012204956477791613
prev_event_2,0.011830038311367332
LacticAcid_count,0.011573801105373576
prev_event_1,0.011513437714409831
SIRSCriteria2OrMore_duration,0.009555116148750546
SIRSCritTemperature_duration,0.008249481369847662
SIRSCritHeartRate_duration,0.006971355303911905
weekend,0.006723256064285389
SIRSCritTachypnea_duration,0.006627959834622387
SIRSCriteria2OrMore,0.0061498453915781156
LacticAcid,0.0056406804532481356
SIRSCritHeartRate,0.004845523421214025
SIRSCritTemperature,0.0037254988803300942
SIRSCritTachypnea,0.003603552599927403
SIRSCritLeucos_duration,0.002556963998614885
