Feature,Importance
current_event,0.22
unique_activities,0.23
dept_changes,0.19
event_position,0.11
time_since_start,0.11
trace_length,0.07
repeated_activities,0.06
SIRSCritLeucos,0.01
time_since_last_event,0.002
CRP_mean,0.001
department,0.0007
SIRSCritHeartRate_changes,0.0005
SIRSCriteria2OrMore_duration,0.0003
prev_event_3,0.0001
Leucocytes_count,0.0
prev_event_4,0.0
Leucocytes,0.0
current_dept_duration,0.0
time_of_day,0.0
CRP_max,0.0
SIRSCritTachypnea_changes,0.0
LacticAcid_count,0.0
SIRSCritHeartRate,0.0
SIRSCriteria2OrMore,0.0
SIRSCritTemperature,0.0
CRP,0.0
weekend,0.0
LacticAcid,0.0
SIRS_combined,0.0
SIRS_severity,0.0
CRP_prev,0.0
CRP_change,0.0
CRP_change_rate,0.0
Leucocytes_prev,0.0
Leucocytes_change,0.0
Leucocytes_change_rate,0.0
LacticAcid_prev,0.0
LacticAcid_change,0.0
SIRSCritTachypnea,0.0
SIRSCritTachypnea_duration,0.0
CRP_count,0.0
prev_event_5,0.0
SIRSCritHeartRate_duration,0.0
SIRSCriteria2OrMore_changes,0.0
prev_event_2,0.0
SIRSCritTemperature_changes,0.0
SIRSCritTemperature_duration,0.0
SIRSCritLeucos_changes,0.0
SIRSCritLeucos_duration,0.0
CRP_last,0.0
prev_event_1,0.0
Leucocytes_last,0.0
Leucocytes_mean,0.0
Leucocytes_max,0.0
LacticAcid_last,0.0
LacticAcid_mean,0.0
LacticAcid_max,0.0
LacticAcid_change_rate,0.0
