Feature,Importance
current_event,0.06858362376513696
time_since_start,0.0642931551460268
prev_event_5,0.06388865221159121
dept_changes,0.048449867002839306
SIRSCritLeucos_changes,0.03619167262346101
unique_activities,0.035960032767103314
SIRSCriteria2OrMore_changes,0.034212251681942044
current_dept_duration,0.032746722620312335
SIRSCritTemperature_changes,0.03203702397278424
SIRSCritHeartRate_changes,0.03200789793218337
SIRSCritLeucos,0.03177475876091111
SIRSCritTachypnea_changes,0.03103180917642274
event_position,0.030799475160434787
trace_length,0.026543301662083754
time_since_last_event,0.022636810270759457
department,0.020356406491123483
CRP_last,0.01720339729384297
repeated_activities,0.016871949473029207
CRP_mean,0.015235062278873657
CRP_prev,0.01460068013065625
LacticAcid_max,0.014337101658346153
LacticAcid_mean,0.014299186371252423
Leucocytes_count,0.014249661797304301
prev_event_3,0.014217653726694429
LacticAcid_last,0.012917876514341415
CRP_change_rate,0.012797905941252932
prev_event_4,0.012586461647132847
Leucocytes_prev,0.012312026175372299
CRP_count,0.012163281940769422
Leucocytes_last,0.011953584164262985
CRP_change,0.011402178020189875
LacticAcid_count,0.011329765523494184
CRP_max,0.011240896947674765
time_of_day,0.011122341669844405
Leucocytes_max,0.01068455240311128
SIRSCriteria2OrMore_duration,0.010637675053173474
Leucocytes_mean,0.00987951509977728
Leucocytes_change_rate,0.009616288535708305
SIRSCritTemperature_duration,0.009567963164860908
SIRSCriteria2OrMore,0.009429568787034066
LacticAcid_prev,0.008641765521502124
prev_event_2,0.007785880478512735
Leucocytes_change,0.007702579123825097
SIRSCritHeartRate,0.007232227042702322
prev_event_1,0.0056107684504458554
SIRS_combined,0.005551937173355933
SIRSCritHeartRate_duration,0.005538771014281066
SIRSCritTemperature,0.005214928885734164
CRP,0.0048483857903404
LacticAcid,0.004562920938915047
LacticAcid_change_rate,0.004528755390614422
Leucocytes,0.004255133466617336
SIRSCritTachypnea,0.003942912159357112
SIRS_severity,0.0036431428525798594
SIRSCritTachypnea_duration,0.0034902054737372843
LacticAcid_change,0.0025376953738673307
weekend,0.002025124202402977
SIRSCritLeucos_duration,0.0007168310980932597
