feature,importance
current_event,0.1315541599430496
event_position,0.11085392037375293
time_since_start,0.1083806862110871
dept_changes,0.09687977950798013
unique_activities,0.0920036441120534
trace_length,0.06624218962173717
repeated_activities,0.062310484391924124
CRP_last,0.06080963405624856
time_since_last_event,0.05401541068712049
Leucocytes_last,0.05323176198094386
LacticAcid_last,0.053026065038108555
SIRSCritLeucos,0.042780133332041954
time_of_day,0.03354988507358491
SIRSCritTemperature,0.026515017309759133
weekend,0.007847228360608107
