feature,importance_baseline,importance_enhanced,importance_change,importance_change_pct
current_event,0.0094587893282397,0.2144438983023683,0.20498510897412858,2166.899302526778
dept_changes,0.0729534938585374,0.1945883132520862,0.1216348193935488,166.72560244116443
SIRSCritLeucos,0.0520934183969375,0.1686331620113913,0.11653974361445381,223.7067755061161
SIRSCritHeartRate_changes,0.0038003234928137,0.1496749068045022,0.1458745833116885,3837.4419748137348
time_since_start,0.1146964621612318,0.1163794462120805,0.0016829840508486987,1.4664527175713093
unique_activities,0.0516364998247793,0.080207379482991,0.0285708796582117,55.32777488289986
CRP_mean,0.026982640507774,0.0386732059625354,0.011690565454761402,43.32093533262731
SIRSCriteria2OrMore_duration,0.0120700977594982,0.0289328363751943,0.0168627386156961,139.68686984104957
department,0.0085341272266857,0.0052447708050016,-0.0032893564216841,-38.55076010345293
prev_event_3,0.0164465593316424,0.0007802121762424,-0.0156663471554,-95.25636502954332
Leucocytes_count,0.0033601999324579,0.0007663097336945,-0.0025938901987634,-77.20130462057546
prev_event_4,0.0084214202615247,0.0004805015073436,-0.0079409187541811,-94.29497113153298
time_since_last_event,0.0421703082164231,0.0004801457242199,-0.0416901624922032,-98.86143981648425
Leucocytes,0.0191861532802551,0.0003165117112391,-0.018869641569016,-98.35039775512288
current_dept_duration,0.040213801859599,0.0002166069661087,-0.039997194893490295,-99.46137502587995
time_of_day,0.0206079796546297,0.0001794218950009,-0.0204285577596288,-99.12939942681444
CRP_max,0.0128951900855594,2.37107799918796e-06,-0.012892819007560213,-99.98161412026764
SIRSCriteria2OrMore_changes,0.0040786536982043,0.0,-0.0040786536982043,-100.0
SIRS_combined,0.0,0.0,0.0,-100.0
SIRSCriteria2OrMore,4.73348516357853e-05,0.0,-4.73348516357853e-05,-100.0
SIRSCritTemperature_duration,0.003216538979989,0.0,-0.003216538979989,-100.0
SIRSCritTemperature_changes,0.0086690953657398,0.0,-0.0086690953657398,-100.0
CRP,0.0192848030656784,0.0,-0.0192848030656784,-100.0
SIRS_severity,0.0,0.0,0.0,-100.0
SIRSCritTachypnea_duration,0.0072477317027224,0.0,-0.0072477317027224,-100.0
event_position,0.0032357101832655,0.0,-0.0032357101832655,-100.0
prev_event_1,0.0070834407786558,0.0,-0.0070834407786558,-100.0
prev_event_2,0.0071572572675992,0.0,-0.0071572572675992,-100.0
prev_event_5,0.087247106885835,0.0,-0.087247106885835,-100.0
repeated_activities,0.0102470895545789,0.0,-0.0102470895545789,-100.0
trace_length,0.060355647544881,0.0,-0.060355647544881,-100.0
SIRSCritTemperature,0.0001658364845075,0.0,-0.0001658364845075,-100.0
SIRSCritLeucos_duration,0.0015278683866,0.0,-0.0015278683866,-100.0
SIRSCritTachypnea_changes,0.009537308456552,0.0,-0.009537308456552,-100.0
LacticAcid_mean,0.0223488728688339,0.0,-0.0223488728688339,-100.0
CRP_change_rate,0.0,0.0,0.0,-100.0
CRP_count,0.0070881421563055,0.0,-0.0070881421563055,-100.0
CRP_last,0.0422909934491945,0.0,-0.0422909934491945,-100.0
CRP_prev,0.0,0.0,0.0,-100.0
LacticAcid,0.0132390923105237,0.0,-0.0132390923105237,-100.0
LacticAcid_change,0.0,0.0,0.0,-100.0
LacticAcid_change_rate,0.0,0.0,0.0,-100.0
LacticAcid_count,0.0035571802820213,0.0,-0.0035571802820213,-100.0
LacticAcid_last,0.023872424362908,0.0,-0.023872424362908,-100.0
LacticAcid_max,0.0163778977835223,0.0,-0.0163778977835223,-100.0
LacticAcid_prev,0.0,0.0,0.0,-100.0
SIRSCritTachypnea,0.0004132035117703,0.0,-0.0004132035117703,-100.0
Leucocytes_change,0.0,0.0,0.0,-100.0
Leucocytes_change_rate,0.0,0.0,0.0,-100.0
Leucocytes_last,0.0179588796584775,0.0,-0.0179588796584775,-100.0
Leucocytes_max,0.0285932981612172,0.0,-0.0285932981612172,-100.0
Leucocytes_mean,0.0230750071072494,0.0,-0.0230750071072494,-100.0
Leucocytes_prev,0.0,0.0,0.0,-100.0
SIRSCritHeartRate,0.0002437993381663,0.0,-0.0002437993381663,-100.0
SIRSCritHeartRate_duration,0.0025107964942255,0.0,-0.0025107964942255,-100.0
SIRSCritLeucos_changes,0.0501012830318373,0.0,-0.0501012830318373,-100.0
CRP_change,0.0,0.0,0.0,-100.0
weekend,0.0037002410987123,0.0,-0.0037002410987123,-100.0
